risk_id,project_id,sector,location,risk_category,risk_description,probability,impact,severity_label
R0047,P047,manufacturing,Livingstone,Schedule,"A major risk: a contractor delay affecting the implementation timeline of the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.49,0.47,High
R0048,P048,hospitality,Livingstone,External/Stakeholder,"A growing risk: frequent ZESCO load shedding affecting day-to-day operations during the financial reporting system, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.4,0.32,Medium
R0049,P049,agribusiness,Choma,Schedule,"A serious risk: rescheduled staff training sessions delaying the rollout of the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.62,0.77,Critical
R0050,P050,mining supply chain,Solwezi,External/Stakeholder,"A significant risk: a security incident at the project site affecting the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.63,0.7,High
R0051,P051,ICT/software services,Choma,Schedule,"A noticeable risk: rescheduled staff training sessions delaying the rollout of the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.48,0.5,High
R0052,P052,manufacturing,Chipata,Resource/Staffing,"A slight risk: the resignation of a key team member midway through the mobile money integration, which was identified early and resolved with minimal effort.",0.13,0.15,Low
R0053,P053,retail,Livingstone,Resource/Staffing,"A small risk: insufficient project management capacity to oversee the warehouse expansion project, which was identified early and resolved with minimal effort.",0.17,0.15,Low
R0054,P054,hospitality,Lusaka,Resource/Staffing,"A small risk: insufficient project management capacity to oversee the customer database migration, which caused only a brief delay to the customer database migration.",0.19,0.33,Low
R0055,P055,mining supply chain,Livingstone,External/Stakeholder,"A moderate risk: a security incident at the project site affecting the branch network expansion, which is likely to require additional resources to keep the branch network expansion on track.",0.32,0.38,Medium
R0056,P056,construction,Choma,Resource/Staffing,"A major risk: a shortage of skilled ICT staff in Choma able to support the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.74,0.64,Critical
R0057,P057,agribusiness,Kitwe,Schedule,"A major risk: a delay in stakeholder sign-off on a key milestone for the point-of-sale upgrade, which could substantially increase the overall cost of the point-of-sale upgrade.",0.53,0.56,High
R0058,P058,ICT/software services,Kabwe,Resource/Staffing,"A significant risk: a shortage of skilled ICT staff in Kabwe able to support the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.7,0.61,High
R0059,P059,manufacturing,Lusaka,Technical,"A minor risk: system downtime caused by ZESCO load shedding affecting servers running the new inventory management system, which was identified early and resolved with minimal effort.",0.11,0.06,Low
R0060,P060,mining supply chain,Livingstone,Technical,"A moderate risk: a compatibility issue between the financial reporting system and the existing point-of-sale hardware, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.46,0.48,High
R0061,P001,ICT/software services,Lusaka,Technical,"A severe risk: a performance bottleneck in the financial reporting system under the low-bandwidth conditions typical in Lusaka, which may result in the SME abandoning the financial reporting system altogether.",0.8,0.92,Critical
R0062,P002,ICT/software services,Ndola,Scope/Requirements,"A minor risk: unclear requirements from management regarding the scope of the e-commerce platform rollout, which caused only a brief delay to the e-commerce platform rollout.",0.31,0.23,Low
R0063,P003,logistics,Ndola,External/Stakeholder,"A noticeable risk: unreliable internet connectivity at branch locations in Ndola supporting the solar power installation, which is likely to require additional resources to keep the solar power installation on track.",0.25,0.38,Medium
R0064,P004,hospitality,Kitwe,External/Stakeholder,"A potentially catastrophic risk: broader economic instability affecting business confidence in the point-of-sale upgrade, which may result in the SME abandoning the point-of-sale upgrade altogether.",0.66,0.78,Critical
R0065,P005,hospitality,Choma,Scope/Requirements,"A major risk: a misalignment between business requirements and the technical design of the point-of-sale upgrade, which threatens to push the point-of-sale upgrade significantly behind schedule.",0.7,0.66,Critical
R0066,P006,hospitality,Choma,Resource/Staffing,"A noticeable risk: inadequate training of end-users ahead of the the e-commerce platform rollout rollout, which is likely to require additional resources to keep the e-commerce platform rollout on track.",0.35,0.4,Medium
R0067,P007,ICT/software services,Chipata,Cost/Financial,"A minor risk: a budget overrun caused by unforeseen consulting fees on the solar power installation, which was identified early and resolved with minimal effort.",0.22,0.2,Low
R0068,P008,mining supply chain,Livingstone,Resource/Staffing,"A serious risk: the resignation of a key team member midway through the branch network expansion, which could substantially increase the overall cost of the branch network expansion.",0.64,0.62,High
R0069,P009,logistics,Chipata,External/Stakeholder,"A small risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the e-commerce platform rollout, which caused only a brief delay to the e-commerce platform rollout.",0.19,0.21,Low
R0070,P010,manufacturing,Chipata,Cost/Financial,"A serious risk: import duties on hardware for the staff training programme being higher than originally estimated, which threatens to push the staff training programme significantly behind schedule.",0.49,0.52,High
R0071,P011,retail,Chipata,Resource/Staffing,"A small risk: inadequate training of end-users ahead of the the staff training programme rollout, which caused only a brief delay to the staff training programme.",0.3,0.14,Low
R0072,P012,agribusiness,Chipata,Scope/Requirements,"A slight risk: additional feature requests expanding the original scope of the warehouse expansion project, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.34,0.22,Low
R0073,P013,ICT/software services,Lusaka,Resource/Staffing,"A critical risk: a shortage of skilled ICT staff in Lusaka able to support the mobile money integration, which poses a serious risk to the successful completion of the mobile money integration.",0.76,0.75,Critical
R0074,P014,hospitality,Ndola,Resource/Staffing,"A potentially catastrophic risk: a shortage of skilled ICT staff in Ndola able to support the mobile money integration, which could halt the mobile money integration entirely until resolved.",0.77,0.8,Critical
R0075,P015,manufacturing,Ndola,Scope/Requirements,"A slight risk: a misalignment between business requirements and the technical design of the staff training programme, which required minor adjustments but did not affect the overall plan for the staff training programme.",0.09,0.28,Low
R0076,P016,ICT/software services,Kabwe,Resource/Staffing,"A growing risk: the resignation of a key team member midway through the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.42,0.27,Medium
R0077,P017,manufacturing,Kitwe,Cost/Financial,"A serious risk: underestimated cloud hosting costs for the mobile money integration, which could substantially increase the overall cost of the mobile money integration.",0.5,0.48,High
R0078,P018,manufacturing,Lusaka,Resource/Staffing,"A major risk: the resignation of a key team member midway through the staff training programme, which may require escalation to senior management to resolve issues with the staff training programme.",0.54,0.55,High
R0079,P019,hospitality,Livingstone,Cost/Financial,"A minor risk: additional costs arising from an extended timeline for the financial reporting system, which was identified early and resolved with minimal effort.",0.08,0.12,Low
R0080,P020,mining supply chain,Chipata,Schedule,"A slight risk: the user-acceptance testing phase for the staff training programme taking longer than planned, which caused only a brief delay to the staff training programme.",0.09,0.26,Low
R0081,P021,agribusiness,Ndola,Resource/Staffing,"A growing risk: high staff turnover during the implementation of the point-of-sale upgrade, which could delay the point-of-sale upgrade by one to two weeks if not addressed promptly.",0.52,0.47,High
R0082,P022,ICT/software services,Lusaka,External/Stakeholder,"A minor risk: dependency on a single internet service provider with no backup link for the financial reporting system, which required minor adjustments but did not affect the overall plan for the financial reporting system.",0.22,0.28,Low
R0083,P023,mining supply chain,Kabwe,Cost/Financial,"A major risk: currency exchange losses on international payments related to the warehouse expansion project, which could substantially increase the overall cost of the warehouse expansion project.",0.74,0.61,Critical
R0084,P024,mining supply chain,Kabwe,Schedule,"A significant risk: a delay in the delivery of imported equipment for the solar power installation pending ZRA customs clearance, which could substantially increase the overall cost of the solar power installation.",0.54,0.78,High
R0085,P025,hospitality,Ndola,Cost/Financial,"A minor risk: depletion of the contingency reserve allocated to the solar power installation, which caused only a brief delay to the solar power installation.",0.31,0.3,Medium
R0086,P026,mining supply chain,Choma,Scope/Requirements,"A slight risk: additional feature requests expanding the original scope of the solar power installation, which caused only a brief delay to the solar power installation.",0.28,0.11,Low
R0087,P027,agribusiness,Ndola,External/Stakeholder,"A moderate risk: a change in data protection regulations affecting the design of the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.54,0.43,High
R0088,P028,manufacturing,Ndola,Scope/Requirements,"A noticeable risk: frequent change requests from stakeholders affecting the customer database migration, which has raised concerns among the project team about the quality of the customer database migration.",0.55,0.52,High
R0089,P029,hospitality,Chipata,Resource/Staffing,"A serious risk: reliance on part-time staff to support the staff training programme after hours, which may require escalation to senior management to resolve issues with the staff training programme.",0.7,0.79,Critical
R0090,P030,retail,Kitwe,Schedule,"A small risk: a delay in stakeholder sign-off on a key milestone for the financial reporting system, which required minor adjustments but did not affect the overall plan for the financial reporting system.",0.13,0.29,Low
R0091,P031,mining supply chain,Chipata,Technical,"A noticeable risk: a licensing conflict with third-party software used in the staff training programme, which is likely to require additional resources to keep the staff training programme on track.",0.51,0.38,Medium
R0092,P032,logistics,Choma,Scope/Requirements,"A moderate risk: an underestimation of the complexity of business processes covered by the customer database migration, which could delay the customer database migration by one to two weeks if not addressed promptly.",0.51,0.54,High
R0093,P033,mining supply chain,Solwezi,Resource/Staffing,"A severe risk: inadequate training of end-users ahead of the the new inventory management system rollout, which poses a serious risk to the successful completion of the new inventory management system.",0.85,0.88,Critical
R0094,P034,retail,Solwezi,Schedule,"A potentially catastrophic risk: rescheduled staff training sessions delaying the rollout of the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.91,0.75,Critical
R0095,P035,mining supply chain,Ndola,Resource/Staffing,"A significant risk: insufficient project management capacity to oversee the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.68,0.54,High
R0096,P036,logistics,Kabwe,Cost/Financial,"A small risk: ZMW depreciation against the US dollar increasing the cost of software licences for the branch network expansion, which required minor adjustments but did not affect the overall plan for the branch network expansion.",0.24,0.32,Low
R0097,P037,retail,Livingstone,External/Stakeholder,"A slight risk: unreliable internet connectivity at branch locations in Livingstone supporting the staff training programme, which caused only a brief delay to the staff training programme.",0.18,0.08,Low
R0098,P038,logistics,Lusaka,Cost/Financial,"A small risk: underestimated cloud hosting costs for the new inventory management system, which was identified early and resolved with minimal effort.",0.29,0.14,Low
R0099,P039,construction,Kitwe,Resource/Staffing,"A small risk: scheduling conflicts with contractors assigned to the financial reporting system, which caused only a brief delay to the financial reporting system.",0.1,0.23,Low
R0100,P040,ICT/software services,Choma,Schedule,"A severe risk: rainy-season disruptions to site logistics for the e-commerce platform rollout in Choma, which may result in the SME abandoning the e-commerce platform rollout altogether.",0.76,0.83,Critical
R0101,P041,ICT/software services,Solwezi,Technical,"A noticeable risk: a data loss incident during the migration of records for the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.44,0.38,Medium
R0102,P042,manufacturing,Ndola,Resource/Staffing,"A small risk: high staff turnover during the implementation of the point-of-sale upgrade, which was identified early and resolved with minimal effort.",0.16,0.16,Low
R0103,P043,agribusiness,Chipata,External/Stakeholder,"A potentially catastrophic risk: frequent ZESCO load shedding affecting day-to-day operations during the customer database migration, which may result in the SME abandoning the customer database migration altogether.",0.8,0.84,Critical
R0104,P044,manufacturing,Solwezi,Cost/Financial,"A significant risk: import duties on hardware for the e-commerce platform rollout being higher than originally estimated, which may require escalation to senior management to resolve issues with the e-commerce platform rollout.",0.64,0.67,High
R0105,P045,mining supply chain,Chipata,External/Stakeholder,"A minor risk: unreliable internet connectivity at branch locations in Chipata supporting the new inventory management system, which caused only a brief delay to the new inventory management system.",0.06,0.16,Low
R0106,P046,construction,Livingstone,Resource/Staffing,"A noticeable risk: high staff turnover during the implementation of the warehouse expansion project, which could delay the warehouse expansion project by one to two weeks if not addressed promptly.",0.49,0.51,High
R0107,P047,retail,Solwezi,Resource/Staffing,"A moderate risk: insufficient project management capacity to oversee the staff training programme, which has raised concerns among the project team about the quality of the staff training programme.",0.39,0.27,Medium
R0108,P048,retail,Chipata,Resource/Staffing,"A growing risk: high staff turnover during the implementation of the new inventory management system, which has raised concerns among the project team about the quality of the new inventory management system.",0.39,0.45,Medium
R0109,P049,manufacturing,Ndola,External/Stakeholder,"A growing risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.39,0.44,Medium
R0110,P050,hospitality,Chipata,Technical,"A minor risk: a security vulnerability discovered in the authentication module of the point-of-sale upgrade, which caused only a brief delay to the point-of-sale upgrade.",0.09,0.06,Low
R0111,P051,hospitality,Kitwe,Schedule,"A slight risk: the user-acceptance testing phase for the branch network expansion taking longer than planned, which required minor adjustments but did not affect the overall plan for the branch network expansion.",0.19,0.25,Low
R0112,P052,mining supply chain,Ndola,Schedule,"A major risk: a delay in the delivery of imported equipment for the customer database migration pending ZRA customs clearance, which may require escalation to senior management to resolve issues with the customer database migration.",0.63,0.78,Critical
R0113,P053,logistics,Livingstone,Resource/Staffing,"A growing risk: over-reliance on a single subject-matter expert for the point-of-sale upgrade, which could delay the point-of-sale upgrade by one to two weeks if not addressed promptly.",0.28,0.46,Medium
R0114,P054,retail,Choma,Schedule,"A growing risk: a delay in the delivery of imported equipment for the mobile money integration pending ZRA customs clearance, which could delay the mobile money integration by one to two weeks if not addressed promptly.",0.45,0.44,Medium
R0115,P055,retail,Livingstone,Schedule,"A significant risk: scope creep that is pushing back the planned milestones for the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.7,0.64,High
R0116,P056,ICT/software services,Lusaka,Schedule,"A moderate risk: rainy-season disruptions to site logistics for the financial reporting system in Lusaka, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.51,0.29,Medium
R0117,P057,logistics,Lusaka,Technical,"A small risk: a software bug discovered in the core module of the warehouse expansion project, which was identified early and resolved with minimal effort.",0.29,0.12,Low
R0118,P058,retail,Ndola,Schedule,"A growing risk: a contractor delay affecting the implementation timeline of the customer database migration, which is likely to require additional resources to keep the customer database migration on track.",0.39,0.48,Medium
R0119,P059,mining supply chain,Chipata,Scope/Requirements,"A noticeable risk: an underestimation of the complexity of business processes covered by the new inventory management system, which is likely to require additional resources to keep the new inventory management system on track.",0.44,0.26,Medium
R0120,P060,retail,Ndola,Resource/Staffing,"A serious risk: high staff turnover during the implementation of the point-of-sale upgrade, which may require escalation to senior management to resolve issues with the point-of-sale upgrade.",0.55,0.5,High
R0121,P001,ICT/software services,Kabwe,Scope/Requirements,"A serious risk: frequent change requests from stakeholders affecting the solar power installation, which may require escalation to senior management to resolve issues with the solar power installation.",0.59,0.66,High
R0122,P002,mining supply chain,Kabwe,Scope/Requirements,"A major risk: an underestimation of the complexity of business processes covered by the e-commerce platform rollout, which could substantially increase the overall cost of the e-commerce platform rollout.",0.72,0.59,High
R0123,P003,ICT/software services,Solwezi,Cost/Financial,"A major risk: a budget overrun caused by unforeseen consulting fees on the customer database migration, which threatens to push the customer database migration significantly behind schedule.",0.56,0.5,High
R0124,P004,logistics,Ndola,Technical,"A significant risk: a licensing conflict with third-party software used in the customer database migration, which may require escalation to senior management to resolve issues with the customer database migration.",0.69,0.64,High
R0125,P005,ICT/software services,Lusaka,Cost/Financial,"A slight risk: a supplier price increase affecting the procurement plan for the customer database migration, which was identified early and resolved with minimal effort.",0.23,0.16,Low
R0126,P006,logistics,Solwezi,Schedule,"A serious risk: the user-acceptance testing phase for the mobile money integration taking longer than planned, which may require escalation to senior management to resolve issues with the mobile money integration.",0.48,0.55,High
R0127,P007,ICT/software services,Lusaka,Scope/Requirements,"A severe risk: conflicting priorities among departments regarding the financial reporting system, which poses a serious risk to the successful completion of the financial reporting system.",0.61,0.7,High
R0128,P008,retail,Kabwe,Schedule,"A minor risk: a contractor delay affecting the implementation timeline of the financial reporting system, which required minor adjustments but did not affect the overall plan for the financial reporting system.",0.09,0.24,Low
R0129,P009,logistics,Choma,Resource/Staffing,"A noticeable risk: the resignation of a key team member midway through the customer database migration, which could delay the customer database migration by one to two weeks if not addressed promptly.",0.3,0.34,Medium
R0130,P010,ICT/software services,Ndola,Scope/Requirements,"A slight risk: a lack of documented standard operating procedures needed to configure the new inventory management system, which caused only a brief delay to the new inventory management system.",0.18,0.18,Low
R0131,P011,hospitality,Solwezi,Scope/Requirements,"A growing risk: a lack of documented standard operating procedures needed to configure the mobile money integration, which has raised concerns among the project team about the quality of the mobile money integration.",0.28,0.45,Medium
R0132,P012,agribusiness,Kabwe,Technical,"A serious risk: a delay in integrating the e-commerce platform rollout with mobile money APIs (MTN/Airtel), which could substantially increase the overall cost of the e-commerce platform rollout.",0.45,0.56,High
R0133,P013,hospitality,Choma,Technical,"A growing risk: system downtime caused by ZESCO load shedding affecting servers running the new inventory management system, which has raised concerns among the project team about the quality of the new inventory management system.",0.3,0.36,Medium
R0134,P014,hospitality,Ndola,External/Stakeholder,"A moderate risk: dependency on a single internet service provider with no backup link for the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.51,0.26,Medium
R0135,P015,hospitality,Kabwe,Scope/Requirements,"A severe risk: additional feature requests expanding the original scope of the customer database migration, which may result in the SME abandoning the customer database migration altogether.",0.7,0.74,Critical
R0136,P016,hospitality,Ndola,External/Stakeholder,"A growing risk: a security incident at the project site affecting the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.5,0.32,Medium
R0137,P017,logistics,Livingstone,Cost/Financial,"A slight risk: a budget overrun caused by unforeseen consulting fees on the solar power installation, which required minor adjustments but did not affect the overall plan for the solar power installation.",0.28,0.07,Low
R0138,P018,manufacturing,Kitwe,Cost/Financial,"A moderate risk: import duties on hardware for the solar power installation being higher than originally estimated, which has raised concerns among the project team about the quality of the solar power installation.",0.28,0.33,Medium
R0139,P019,mining supply chain,Choma,External/Stakeholder,"A slight risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the point-of-sale upgrade, which required minor adjustments but did not affect the overall plan for the point-of-sale upgrade.",0.25,0.31,Low
R0140,P020,mining supply chain,Choma,Resource/Staffing,"A growing risk: a shortage of skilled ICT staff in Choma able to support the mobile money integration, which is likely to require additional resources to keep the mobile money integration on track.",0.44,0.49,Medium
R0141,P021,agribusiness,Choma,Cost/Financial,"A moderate risk: a budget overrun caused by unforeseen consulting fees on the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.27,0.5,Medium
R0142,P022,mining supply chain,Lusaka,Resource/Staffing,"A moderate risk: over-reliance on a single subject-matter expert for the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.52,0.42,Medium
R0143,P023,retail,Choma,Schedule,"A growing risk: a contractor delay affecting the implementation timeline of the new inventory management system, which has raised concerns among the project team about the quality of the new inventory management system.",0.49,0.5,High
R0144,P024,mining supply chain,Choma,Technical,"A major risk: a licensing conflict with third-party software used in the e-commerce platform rollout, which could substantially increase the overall cost of the e-commerce platform rollout.",0.61,0.66,High
R0145,P025,logistics,Lusaka,Cost/Financial,"A growing risk: underestimated cloud hosting costs for the financial reporting system, which is likely to require additional resources to keep the financial reporting system on track.",0.27,0.28,Low
R0146,P026,logistics,Kitwe,External/Stakeholder,"A noticeable risk: broader economic instability affecting business confidence in the financial reporting system, which has raised concerns among the project team about the quality of the financial reporting system.",0.27,0.45,Medium
R0147,P027,ICT/software services,Ndola,Resource/Staffing,"A major risk: inadequate training of end-users ahead of the the warehouse expansion project rollout, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.62,0.68,High
